entry_id	topic	meaning_ru	ru_definition	en	fr	de	ar	zh	ru	es
office	work	офис	рабочее помещение	office|/ˈɔːfɪs/	bureau|/by.ʁo/	Büro|/byˈʁoː/	مكتب|maktab	办公室|bàngōngshì	офис|ofis	oficina|/ofiˈθina/
computer	work	компьютер	электронное вычислительное устройство	computer|/kəmˈpjuːtər/	ordinateur|/ɔʁ.di.na.tœʁ/	Computer|/kɔmˈpjuːtɐ/	حاسوب|ḥāsūb	电脑|diànnǎo	компьютер|kompyuter	ordenador|/oɾðenaˈðoɾ/
phone	work	телефон	устройство связи	phone|/foʊn/	téléphone|/te.le.fɔn/	Telefon|/teleˈfoːn/	هاتف|hātif	电话|diànhuà	телефон|telefon	teléfono|/teˈlefono/
question	work	вопрос	запрос информации	question|/ˈkwɛstʃən/	question|/kɛs.tjɔ̃/	Frage|/ˈfʁaːɡə/	سؤال|suʾāl	问题|wèntí	вопрос|vopros	pregunta|/pɾeˈɣunta/
doctor	health	врач	медицинский специалист	doctor|/ˈdɑːktər/	médecin|/med.sɛ̃/	Arzt|/aʁtst/	طبيب|ṭabīb	医生|yīshēng	врач|vrach	médico|/ˈmeðiko/
hospital	health	больница	медицинское учреждение	hospital|/ˈhɑːspɪtəl/	hôpital|/o.pi.tal/	Krankenhaus|/ˈkʁaŋkn̩ˌhaʊs/	مستشفى|mustashfā	医院|yīyuàn	больница|bolnitsa	hospital|/ospiˈtal/
head	health	голова	верхняя часть тела	head|/hɛd/	tête|/tɛt/	Kopf|/kɔpf/	رأس|raʾs	头|tóu	голова|golova	cabeza|/kaˈβeθa/
hand	health	рука	часть руки с пальцами	hand|/hænd/	main|/mɛ̃/	Hand|/hant/	يد|yad	手|shǒu	рука|ruka	mano|/ˈmano/
eye	health	глаз	орган зрения	eye|/aɪ/	œil|/œj/	Auge|/ˈaʊɡə/	عين|ʿayn	眼睛|yǎnjing	глаз|glaz	ojo|/ˈoxo/
heart	health	сердце	орган кровообращения	heart|/hɑːrt/	cœur|/kœʁ/	Herz|/hɛʁt͡s/	قلب|qalb	心脏|xīnzàng	сердце|serdtse	corazón|/koɾaˈθon/
pain	health	боль	неприятное физическое ощущение	pain|/peɪn/	douleur|/du.lœʁ/	Schmerz|/ʃmɛʁt͡s/	ألم|alam	疼痛|téngtòng	боль|bol	dolor|/doˈloɾ/
medicine	health	лекарство	средство лечения	medicine|/ˈmɛdɪsɪn/	médicament|/me.di.ka.mɑ̃/	Medizin|/medɪˈt͡siːn/	دواء|dawāʾ	药|yào	лекарство|lekarstvo	medicina|/meðiˈθina/
tired	health	уставший	испытывающий усталость	tired|/ˈtaɪərd/	fatigué|/fa.ti.ɡe/	müde|/ˈmyːdə/	متعب|mutʿab	累|lèi	уставший|ustavshiy	cansado|/kanˈsaðo/
healthy	health	здоровый	не имеющий болезни	healthy|/ˈhɛlθi/	sain|/sɛ̃/	gesund|/ɡəˈzʊnt/	صحي|ṣiḥḥī	健康|jiànkāng	здоровый|zdorovyy	sano|/ˈsano/
go	actions	идти	двигаться пешком	go|/ɡoʊ/	aller|/a.le/	gehen|/ˈɡeːən/	يذهب|yadhhab	去|qù	идти|idti	ir|/iɾ/
come	actions	приходить	прибывать	come|/kʌm/	venir|/və.niʁ/	kommen|/ˈkɔmən/	يأتي|yaʾtī	来|lái	приходить|prikhodit	venir|/beˈniɾ/
eat	actions	есть	принимать пищу	eat|/iːt/	manger|/mɑ̃.ʒe/	essen|/ˈɛsn̩/	يأكل|yaʾkul	吃|chī	есть|yest	comer|/koˈmeɾ/
drink	actions	пить	принимать жидкость	drink|/drɪŋk/	boire|/bwaʁ/	trinken|/ˈtʁɪŋkn̩/	يشرب|yashrab	喝|hē	пить|pit	beber|/beˈβeɾ/
sleep	actions	спать	находиться во сне	sleep|/sliːp/	dormir|/dɔʁ.miʁ/	schlafen|/ˈʃlaːfn̩/	ينام|yanām	睡觉|shuìjiào	спать|spat	dormir|/doɾˈmiɾ/
read	actions	читать	воспринимать написанное	read|/riːd/	lire|/liʁ/	lesen|/ˈleːzn̩/	يقرأ|yaqraʾ	读|dú	читать|chitat	leer|/leˈeɾ/
write	actions	писать	создавать текст	write|/raɪt/	écrire|/e.kʁiʁ/	schreiben|/ˈʃʁaɪbn̩/	يكتب|yaktub	写|xiě	писать|pisat	escribir|/eskɾiˈβiɾ/
speak	actions	говорить	выражать мысли словами	speak|/spiːk/	parler|/paʁ.le/	sprechen|/ˈʃpʁɛçn̩/	يتكلم|yatakallam	说|shuō	говорить|govorit	hablar|/aˈβlaɾ/
listen	actions	слушать	воспринимать звуки	listen|/ˈlɪsən/	écouter|/e.ku.te/	zuhören|/ˈtsuːˌhøːʁən/	يستمع|yastamiʿ	听|tīng	слушать|slushat	escuchar|/eskutʃaɾ/
help	actions	помогать	оказывать поддержку	help|/hɛlp/	aider|/e.de/	helfen|/ˈhɛlfn̩/	يساعد|yusāʿid	帮助|bāngzhù	помогать|pomogat	ayudar|/aʝuˈðaɾ/
big	descriptions	большой	крупного размера	big|/bɪɡ/	grand|/ɡʁɑ̃/	groß|/ɡʁoːs/	كبير|kabīr	大|dà	большой|bolshoy	grande|/ˈɡɾande/
small	descriptions	маленький	небольшого размера	small|/smɔːl/	petit|/pə.ti/	klein|/klaɪn/	صغير|ṣaghīr	小|xiǎo	маленький|malenkiy	pequeño|/peˈkeɲo/
good	descriptions	хороший	положительного качества	good|/ɡʊd/	bon|/bɔ̃/	gut|/ɡuːt/	جيد|jayyid	好|hǎo	хороший|khoroshiy	bueno|/ˈbweno/
bad	descriptions	плохой	отрицательного качества	bad|/bæd/	mauvais|/mo.vɛ/	schlecht|/ʃlɛçt/	سيئ|sayyiʾ	坏|huài	плохой|plokhoy	malo|/ˈmalo/
new	descriptions	новый	недавно созданный	new|/nuː/	nouveau|/nu.vo/	neu|/nɔɪ/	جديد|jadīd	新|xīn	новый|novyy	nuevo|/ˈnweβo/
old	descriptions	старый	существующий давно	old|/oʊld/	vieux|/vjø/	alt|/alt/	قديم|qadīm	旧|jiù	старый|staryy	viejo|/ˈbjexo/
hot	descriptions	горячий	имеющий высокую температуру	hot|/hɑːt/	chaud|/ʃo/	heiß|/haɪs/	ساخن|sākhin	热|rè	горячий|goryachiy	caliente|/kaˈljente/
cold	descriptions	холодный	имеющий низкую температуру	cold|/koʊld/	froid|/fʁwa/	kalt|/kalt/	بارد|bārid	冷|lěng	холодный|kholodnyy	frío|/ˈfɾi.o/
happy	descriptions	счастливый	испытывающий радость	happy|/ˈhæpi/	heureux|/ø.ʁø/	glücklich|/ˈɡlʏklɪç/	سعيد|saʿīd	高兴|gāoxìng	счастливый|schastlivyy	feliz|/feˈliθ/
sad	descriptions	грустный	испытывающий печаль	sad|/sæd/	triste|/tʁist/	traurig|/ˈtʁaʊʁɪç/	حزين|ḥazīn	难过|nánguò	грустный|grustnyy	triste|/ˈtɾiste/
advice	greetings	совет	понятие или предмет: совет	advice|/ædˈvaɪs/	conseil|/kɔ̃sɛj/	Rat|/ʁaːt/	نَصِيحَة|nasiyhaa	劝告|quàn gào	сове́т|sovet	consejo|/kõnˈsexo/
agree	greetings	соглашаться	действие: соглашаться	agree|/əˈɡɹi/	être d'accord|/\ɛtʁ\ \de\ \a.kɔʁ\/	zustimmen|/ˈt͡suːˌʃtɪmən/	وَافَقَ|waafaqa	同意|tóng yì	соглаша́ться|soglashatsya	estar de acuerdo|/esˈt̪aɾ d̪e aˈkweɾð̞o/
article	greetings	статья	понятие или предмет: статья	article|/ˈɑɹtəkəɫ/	article|/aʁtikl/	Artikel|/ˌaʁˈtiːkl̩/	مَقَال|maqaal	文章|wén zhāng	статья́|statya	artículo|/aˈɾtikulo/
blog	greetings	блог	понятие или предмет: блог	blog|/ˈbɫɔɡ/	blog|/\blɔɡ\/	Blog|/blɔk/	مُدَوَّنَة إِلِكْتْرُونِيَّة|mudawanaa iiliktruwniyaa	博客|bó kè	блог|blog	blog|/ˈbloɣ̞/
call	greetings	звонок	понятие или предмет: звонок	call|/ˈkɔɫ/	appel|/apɛl/	Anruf|/ˈanˌʁuːf/	اِتِّصَال|aitisaal	呼叫|hū jiào	звоно́к|zvonok	llamada|/ʝaˈmað̞a/
conversation	greetings	разговор	понятие или предмет: разговор	conversation|/ˌkɑnvɝˈseɪʃən/	conversation|/kɔ̃vɛʁsasjɔ̃/	Gespräch|/ɡəˈʃpʁɛːç/	مُحَادَثَة|muhaadathaa	会话|huì huà	разгово́р|razgovor	conversación|/kõmbeɾsaˈsjõn/
correct	greetings	правильный	понятие или предмет: правильный	correct|/kɝˈɛkt/	correct|/kɔʁɛkt/	korrekt|/kɔˈʁɛkt/	صَحِيح|sahiyh	正确|zhèng què	пра́вильный|pravilnyi	correcto|/koˈrekt̪o/
describe	greetings	описывать	действие: описывать	describe|/dɪsˈkɹaɪb/	décrire|/dekʁiʁ/	beschreiben|/bəˈʃʁaɪ̯bm̩/	وَصَفَ|wasafa	描述|miáo shù	опи́сывать|opisyvat	describir|/d̪eskɾiˈβ̞iɾ/
description	greetings	описание	понятие или предмет: описание	description|/dɪsˈkɹɪpʃən/	description|/dɛskʁipsjɔ̃/	Beschreibung|/bəˈʃʁaɪ̯bʊŋ/	تَوْصِيف|tawsiyf	描写|miáo xiě	описа́ние|opisanie	descripción|/d̪eskɾipˈsjõn/
dialogue	greetings	диалог	понятие или предмет: диалог	dialogue|/ˈdaɪəˌɫɔɡ/	dialogue|/djalɔg/	Dialog|/diaˈloːk/	حِوَار|hiwaar	对话|duì huà	диало́г|dialog	diálogo|/ˈd̪jaloɣ̞o/
discuss	greetings	обсуждать	действие: обсуждать	discuss|/dɪˈskəs/	discuter|/diskyte/	diskutieren|/dɪskuˈtiːʁən/	نَاقَشَ|naaqasha	讨论|tǎo lùn	обсужда́ть|obsuzhdat	discutir|/d̪iskuˈt̪iɾ/
email	greetings	электронная почта	понятие или предмет: электронная почта	email|/iˈmeɪɫ/	courrier électronique|/\ku.ʁje e.lɛk.tʁɔ.nik\/	E-Mail|/ˈiːmeɪ̯l/	بَرِيد إِلِكْتْرُونِيّ|bariyd iiliktruwniy	电子邮件|diàn zi yóu jiàn	электро́нная по́чта|elektronnaya pochta	correo electrónico|/koˈreo elekˈt̪ɾoniko/
example	greetings	пример	понятие или предмет: пример	example|/ɪɡˈzæmpəɫ/	exemple|/ɛgzɑ̃pl/	Beispiel|/ˈbaɪ̯ˌʃpiːl/	مِثَال|mithaal	例子|lì zi	приме́р|primer	ejemplo|/eˈxẽmplo/
explain	greetings	объяснять	действие: объяснять	explain|/ɪksˈpɫeɪn/	expliquer|/ɛksplike/	erklären|/ɛɐ̯ˈklɛːʁən/	شَرَحَ|sharaha	解释|jiě shì	объясня́ть|obyasnyat	explicar|/ekspliˈkaɾ/
fact	greetings	факт	понятие или предмет: факт	fact|/ˈfækt/	fait|/fɛ/	Tatsache|/ˈtaːtˌzaxə/	حَقِيقَة|haqiyqaa	事实|shì shí	факт|fakt	hecho|/ˈet͡ʃo/
false	greetings	фальшивый	понятие или предмет: фальшивый	false|/ˈfɔɫs/	faux|/fo/	unwahr|/ˈʊnvaːɐ̯/	زَائِف|zaaiif	假|jiǎ	фальши́вый|falshivyi	falso|/ˈfalso/
information	greetings	информация	понятие или предмет: информация	information|/ˌɪnfɝˈmeɪʃən/	renseignement|/ʁɑ̃sɛɲəmɑ̃/	Information|/ɪnfɔʁmaˈt͡si̯oːn/	مَعْلُومَات|maaluwmaat	资讯|zī xùn	информа́ция|informatsiya	información|/ĩɱfoɾmaˈsjõn/
interview	greetings	интервью	понятие или предмет: интервью	interview|/ˈɪntɝvˌju/	interview|/ɛ̃tɛʁvju/	Interview|/ˈɪntɐvjuː/	مُقَابَلَة|muqaabalaa	采访|cǎi fǎng	интервью́|intervyu	entrevista|/ẽn̪t̪ɾeˈβ̞ist̪a/
introduce	greetings	представить	действие: представить	introduce|/ˌɪntɹəˈdus/	présenter|/pʁezɑ̃te/	vorstellen|/ˈfoːɐ̯ˌʃtɛlən/	قَدَّمَ|qadama	介绍|jiè shào	предста́вить|predstavit	presentar|/pɾesẽn̪ˈt̪aɾ/
magazine	greetings	журнал	понятие или предмет: журнал	magazine|/ˈmæɡəˌzin/	magazine|/magazin/	Zeitschrift|/ˈt͡saɪ̯tˌʃʁɪft/	مَجَلَّة|majalaa	杂志|zá zhì	журна́л|zhurnal	revista|/reˈβ̞ist̪a/
mean	greetings	означать	действие: означать	mean|/ˈmin/	signifier|/siɲifje/	bedeuten|/bəˈdɔɪ̯tn̩/	عَنَى|aanaa	意味着|yì wèi zhe	означа́ть|oznachat	significar|/siɣnifiˈkaɾ/
meaning	greetings	значение	понятие или предмет: значение	meaning|/ˈminɪŋ/	signification|/siɲifikasjɔ̃/	Bedeutung|/bəˈdɔɪ̯tʊŋ/	مَعْنًى|maanana	意义|yì yì	значе́ние|znachenie	sentido|/sẽn̪ˈt̪ið̞o/
message	greetings	сообщение	понятие или предмет: сообщение	message|/ˈmɛsədʒ/	message|/mesaʒ/	Nachricht|/ˈnaːxˌʁɪçt/	رِسَالَة|risaalaa	信息|xìn xī	сообще́ние|soobshchenie	mensaje|/mẽnˈsaxe/
news	greetings	новости	понятие или предмет: новости	news|/ˈnjuz/	nouvelles|/nuvɛl/	Neuigkeiten|/ˈnɔɪ̯ɪkkaɪ̯tn̩/	أَخْبَار|aakhbaar	消息|xiāo xī	но́вости|novosti	noticias|/noˈt̪isjas/
newspaper	greetings	газета	понятие или предмет: газета	newspaper|/ˈnuzˌpeɪpɝ/	journal|/ʒuʁnal/	Zeitung|/ˈt͡saɪ̯tʊŋ/	جَرِيدَة|jariydaa	报纸|bào zhǐ	газе́та|gazeta	periódico|/peˈɾjoð̞iko/
note	greetings	заметка	понятие или предмет: заметка	note|/ˈnoʊt/	note|/nɔt/	Notiz|/noˈtiːt͡s/	مُلَاحَظَة|mulaahazaa	字条|zì tiáo	заме́тка|zametka	nota|/ˈnot̪a/
opinion	greetings	мнение	понятие или предмет: мнение	opinion|/əˈpɪnjən/	avis|/avi/	Meinung|/ˈmaɪ̯nʊŋ/	رَأْي|raay	意见|yì jiàn	мне́ние|mnenie	opinión|/opiˈnjõn/
